dt,open,high,low,close,volume,value
2022-08-19 00:00:00,23414.2,23415.5,23392.2,23404.7,385.967,9034194.480549999
2022-08-19 00:01:00,23404.7,23407.0,23398.2,23407.0,189.855,4443409.137375
2022-08-19 00:02:00,23406.9,23425.8,23399.8,23400.0,362.395,8482987.459375
2022-08-19 00:03:00,23400.0,23403.5,23388.4,23393.6,313.583,7336705.461625
2022-08-19 00:04:00,23393.7,23402.2,23382.8,23382.8,191.979,4490460.802125
2022-08-19 00:05:00,23382.9,23389.9,23361.7,23376.4,707.779,16546262.822774999
2022-08-19 00:06:00,23376.4,23389.6,23370.7,23389.5,276.731,6470399.713049999
2022-08-19 00:07:00,23389.6,23404.7,23387.5,23391.7,305.625,7149600.234375
2022-08-19 00:08:00,23391.7,23394.3,23382.4,23384.6,152.84,3574660.13
2022-08-19 00:09:00,23384.6,23385.5,23375.0,23379.5,188.921,4417190.23915
2022-08-19 00:10:00,23379.5,23385.5,23370.0,23374.6,165.051,3858463.2473999998
2022-08-19 00:11:00,23374.5,23384.0,23374.0,23383.9,171.165,4001683.6514999997
2022-08-19 00:12:00,23384.0,23391.7,23381.4,23391.7,198.319,4638126.1168
2022-08-19 00:13:00,23391.7,23397.9,23384.3,23388.0,142.376,3330242.2686000005
2022-08-19 00:14:00,23388.0,23403.0,23386.1,23396.2,159.806,3738393.6949500004
2022-08-19 00:15:00,23396.2,23415.8,23387.7,23411.4,266.388,6234218.4267
2022-08-19 00:16:00,23411.3,23430.0,23411.3,23422.4,507.579,11886865.70625
2022-08-19 00:17:00,23422.3,23425.8,23409.0,23411.2,322.247,7546082.167525001
2022-08-19 00:18:00,23411.2,23411.3,23376.8,23380.0,514.974,12047726.609550001
2022-08-19 00:19:00,23380.0,23383.4,23375.0,23383.4,205.183,4797270.872349999
2022-08-19 00:20:00,23383.4,23392.0,23375.0,23392.0,178.734,4179801.8304
2022-08-19 00:21:00,23392.0,23392.0,23382.8,23388.8,156.705,3665157.5745000006
2022-08-19 00:22:00,23388.6,23397.7,23382.8,23397.6,129.023,3018064.083525
2022-08-19 00:23:00,23397.6,23405.7,23394.9,23405.7,167.034,3908758.4581500003
